ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,length,sentiment,positive_count,negative_count
201,tốt quà tặng tưởng,18/06/2022,9:17,4,422204259,66,positive,1,0
378,rửa cetaphil tiết_kiệm hợp_lý cetaphil tích tương_đương,31/05/2024,22:45,4,422208974,299,positive,0,0
223,sạch lớp ẩm không_bị khô,14/02/2022,20:59,5,205100136,58,positive,1,0
1467,hợp bọt siêu_thích,10/2/2022,7:41,5,204900004,59,positive,2,0
1487,thích serum lâu_dài,10/1/2021,12:01,5,204900004,63,positive,1,0
324,trái_cây thơm nhẹ_tẩy chết dịu nhẹ không_làm khô giá_cả,12/9/2020,17:15,5,245500009,74,positive,1,0
142,kích_ứng alcohol êm_tẩy chống nắng lớp sạch,30/04/2023,12:02,5,422206648,117,positive,0,0
2553,acne đóng_gói kỹ tiếc lỡ chất_lượng mụn giải_quyết liên_quân nhờn thâm_lỗ chân_lông,9/11/2020,16:19,5,204100018,259,positive,0,0
1245,thích,11/6/2023,13:56,5,422212331,53,positive,1,0
2336,giàng thoải_mái thư_giản,2/5/2023,16:23,5,422205163,48,positive,2,0
3362,vichy thích lám_mát cự_kỳ thấm khô_thoáng nhẹ,22/06/2019,10:13,5,201600019,101,positive,1,0
2434,nhạy_cảm mặt_nạ cực_hợp tiếc mặt_nạ chờ_đợi mãi mặt_nạ hasaki mẫu mặt_nạ,27/02/2021,20:52,5,422205164,227,positive,0,0
2523,môi thâm không_đổi,20/08/2023,14:23,5,200500293,115,positive,0,0
1282,đi_lại mãi hoài không_thôi,11/10/2021,9:44,5,422216603,58,positive,0,0
742,tặng bông_tẩy tặng rửa,16/09/2022,13:35,4,200400003,80,positive,0,0
1370,ẩm_ổn vết thâm mờ tốt thâm cũ mờ,15/04/2023,16:18,3,318900002,86,negative,2,0
384,siêu_cấp nhạy_cảm kích_ứng lập_tức rửa không_hề lọ mụn lớp đẹp không_vân_không_dễ trôi mồ_hôi trôi sạch không_đổ mồ_hôi cồn mắt ưng vô_cùng làn mụn kỹ,29/10/2023,9:58,5,422212097,499,positive,1,0
1061,nắp hồng_dịu nhẹ lành_tính,15/08/2023,0:07,5,422204910,58,positive,0,0
3533,viêm tiết_bã mụn rosacea_xài hầu_như không_hợp hỗn_hợp thiên_khô khô rửa ẩm kích_ứng đỏ nổi vết ngứa kết_hợp dưỡng mỏng nhẹ cerave bioderma cicabio ẩm kết_hợp dày hợp máy_lạnh tóm_lại hợp hỗn_hợp thiên_dầu kết_hợp dưỡng ẩm,18/12/2022,12:22,4,422202629,653,positive,0,2
469,tặng serum thời_hạn,10/5/2023,13:14,5,204900013,50,positive,0,0
306,sạch,3/1/2021,10:11,4,205100146,28,positive,0,0
421,hỗn_hợp thiên_dầu ẻm không_hề khô căng suốt bọt mụn_ẩn trộm_vía không_bị đẩy mụn hơi,14/11/2022,7:43,5,422208975,242,positive,1,0
270,thâm_mờ hẳn đỡ mụn viêm kiên_trì tuần hẳn,27/03/2022,19:06,5,327500002,152,positive,0,0
2382,nhẹ_nhàng thoải_mái thư_giãn,29/04/2023,12:40,5,308500015,51,positive,1,0
1490,rửa sạch nhẹ_tênh rửa bọt mịn thơm thích,2/11/2020,11:57,5,204900056,110,positive,2,0
2498,hương dễ_chịu mát giá_thành ổn,3/5/2023,18:13,5,422206537,46,positive,1,0
1972,mát dịu thích thích_hợp cho_viên,20/07/2023,19:01,5,100150059,62,positive,2,0
1348,tím sửa hồng_nhạt dê mỏng nhẹ không_bị đổ,22/05/2021,13:24,5,422207414,119,positive,1,0
679,dễ_dàng thoải_mái thư_giãn,2/5/2023,10:00,5,422205164,48,positive,1,0
138,đắp mê,2/7/2023,20:04,5,422205809,32,positive,0,0
1394,mụn mát nhẹ tối chảo mụn cồn,5/10/2021,12:11,3,422200305,155,negative,0,0
350,ổn không_bị,6/8/2022,14:11,5,422203301,15,positive,2,0
715,tốt,20/04/2023,10:06,5,200400004,3,positive,1,0
1734,dễ_chịu,20/11/2023,10:08,5,100220037,23,positive,0,0
3854,lọ nhỏ_xíu đắt lọ hiệu_quả thất_vọng,28/03/2022,14:56,1,100210020,82,negative,1,1
2241,lọ thử trắng mịn kiếm mãi hợp_mặt nhạy_cảm lọ,10/10/2023,20:20,5,206400009,112,positive,0,0
689,thành ổn,1/5/2023,9:30,5,204100019,47,positive,1,0
140,đối_xử tretinoin khô nhạy_cảm xịt_khoáng ẩm dịu không_thôi mà_còn dịu ưng vòi xịt sương thấm,13/12/2023,23:42,5,204100078,256,positive,1,0
35,hiệu_quả cực_kì giá_thành,17/04/2023,13:48,5,100230059,79,positive,1,0
4319,lỏng đổ rahari_cẩn hiệu trắng,11/4/2020,17:53,4,223600032,78,positive,0,0
403,tốt,15/04/2023,20:27,5,422208972,21,positive,1,0
616,chống nắng ổn kháng bụi thấm_không_lên tông_trừ hương_liệu hơi gắt_không_hợp,27/03/2022,2:21,4,253900006,177,positive,1,1
1162,bình_thường hoàn_thành đẹp ẩm khô tróc_đồ nhẹ,2/9/2023,17:31,4,422217292,96,positive,0,0
2438,tốt,8/11/2020,0:07,5,422205162,19,positive,1,0
236,đỉnh,30/11/2021,21:32,5,422204259,12,positive,1,0
3338,sữa chống nắng tốt mỏng nhẹ thấm cồn,4/10/2019,19:19,4,223600010,64,positive,1,0
1453,serum_rửa sạch sâu khô_bênh cánh mũi tróc_nguyên căng,20/08/2022,11:48,3,204900159,78,negative,0,0
2427,đắp đốt mụn sưng hẵn sạch sợi bã,2/6/2021,12:25,5,422202253,56,positive,1,0
341,tốt nhất_ý tự_nhiên không_nhờn_rít hơi khó_chịu dễ_tính không_khó_chịu mát_mịn rẻ tốt,14/03/2020,15:54,5,422211446,260,positive,3,4
56,ẩm tốt dịu nhẹ nhạy_cảm_không_mùi thích,1/8/2022,22:43,5,318900012,57,positive,2,0
2456,mặt_nạ đắp hiệu_quả miếng đắp thử đắp trắng trông,10/2/2020,16:15,5,308500013,121,positive,1,0
966,hỗn_hợp chữ khô má dịu nhẹ ẩm tốt nhé_bình hết_nhiên vòi bơm giăng,29/03/2023,15:47,5,357100004,197,positive,1,0
2986,tiện_lợi thử ngứa_mẫn đỏ retinol không_đủ ẩm_xài đỡ thử bé tư_vấn tốt nhiệt_tình,7/8/2023,16:06,5,422200342,212,positive,2,1
1711,bha êm_không_có châm chích khô rát khô thích bôi hơi dậy rửa mướt mọng không_bị khô kiên_trì mụn sạch lỗ chân lông,6/5/2024,7:14,5,100220035,257,positive,2,0
2749,dâu thích không_bị khô tiếp,13/10/2022,20:51,5,331300002,46,positive,2,0
676,không_khác,17/01/2023,16:16,3,226200018,66,negative,0,0
1495,tốt,30/04/2020,20:11,5,204900159,3,positive,1,0
2753,tốt mỏng mịn thấm chống nắng,11/6/2022,12:45,5,422211276,46,positive,1,0
704,thích hasaki,28/04/2023,18:42,5,100230057,47,positive,1,0
2140,yên_tâm kiếm số_lượng đơn hộp không_có_mác dấu_hiệu nhắn phản_hồi không_hơi,21/02/2024,8:23,4,422209841,364,positive,1,0
2796,bác_sĩ thẩm_mĩ liễu bôi lazer dịu nhẹ hiệu_quả,24/09/2024,15:13,5,100180113,99,positive,1,0
253,không_đọc kỹ chữ tảy tặng hasaki giá_cả hợp_lý yên_tâm,12/8/2021,8:37,4,205100146,153,positive,1,0
691,hương dễ_chịu mát giá_thành ổn,30/04/2023,16:45,5,204100054,47,positive,1,0
701,thích hasaki,29/04/2023,18:34,5,100230064,48,positive,1,0
2195,tặng kèm,23/08/2022,7:32,4,249500028,32,positive,0,0
4038,dùg miếng mặt_nạ hơi dão không_ôm khuôn_mặt cương ngọc_dùg thích,19/01/2021,0:34,5,365000013,84,positive,1,0
2308,rât_hợp mụn,2/8/2024,21:59,5,422205164,24,positive,0,0
2385,hương dễ_chịu mát giá_thành ổn,29/04/2023,11:21,3,204100019,47,negative,1,0
2327,hương dễ_chịu lành_tính giá_thành rẻ,3/5/2023,17:48,5,204100019,53,positive,1,0
145,phẩm tốt túi_tiền hiệu_quả,19/04/2023,20:48,5,422211446,49,positive,2,0
2891,hồi bình_thường kết_hợp uống thần trắng hẳn mỹ đen_dị chân_ái đời,8/1/2021,8:23,5,358300002,204,positive,0,0
35,thích,17/04/2023,13:44,5,318900011,48,positive,1,0
3972,chân_ái bọt sạch mà_còn ẩm tốt rửa tẩy_kĩ tác_dụng serum dược mỹ_phẩm đồng_tiền,29/10/2022,21:52,5,331300002,174,positive,1,0
162,tốt nâng hơi,9/1/2021,6:40,3,248700035,38,negative,1,0
1144,serum dịu nhẹ không_gây_kích_ứng nhạy_cảm mụn rửa không_bị khô_kích_ứng đổi serum nổi mụn viêm đỏ,7/8/2023,14:20,5,422218629,296,positive,1,0
672,dễ_dàng thoải_mái thư_giãn,4/5/2023,16:47,5,308500004,49,positive,1,0
171,serum không_rửa_mặt hơi dính,18/11/2022,0:24,4,422206648,62,positive,0,0
2665,tệ_bụi gĩu,10/4/2022,12:23,1,243300007,38,negative,0,1
3317,kém bền hỏng,12/11/2021,10:02,1,308500037,49,negative,0,1
562,không_bị mặt_mũi không_bị bôi chút tán không_bị vón,20/04/2021,11:08,5,204900013,162,positive,3,0
745,ứng_dụng tặng bông_tẩy không_thấy tặng,29/08/2022,8:59,5,200400004,60,positive,0,0
3342,mặt_nạ thích mát hơi châm_chích dịu nốt mụn xẹp ưng tủ_lạnh xài_thích,14/08/2020,13:40,5,308100018,164,positive,3,0
3684,hài_lòng,17/03/2022,11:49,5,226200017,12,positive,0,0
205,ổn lớp nhẹ serum,19/05/2022,23:21,5,422211446,115,positive,1,0
256,đỉnh thiệt_tẩy dịu nhẹ sạch bụi bẩn,27/12/2022,18:58,5,200400004,58,positive,1,0
1074,sạch cực_kỳ nhạy_cảm thiên_dầu đỏ,18/12/2022,18:50,5,422201504,94,positive,0,0
1292,tốt_dịu nhẹ bọt mịn ẩm_không_hề khô,15/05/2019,11:49,5,204900056,79,positive,1,0
2431,thơm nhẹ mượt,26/04/2021,19:37,5,308500004,20,positive,1,0
2105,rửa sạch không_bị khô,24/06/2021,5:49,5,422211501,25,positive,1,0
1428,mụn serum,6/1/2021,17:24,5,422217029,48,positive,0,0
695,dễ_dàng thoải_mái thư_giản,29/04/2023,11:43,5,308500009,47,positive,2,0
3116,rẻ,7/2/2024,11:07,5,223600035,42,positive,1,0
1492,tôt,16/10/2020,10:37,5,100230069,8,positive,0,0
792,rát sạch không_thích hơi rít nhạy_cảm không_ưng,4/4/2021,1:56,3,355500010,83,negative,2,2
1895,chân_ái đời viêm mụn đỏ tối_đắp viêm,12/4/2024,21:35,5,422205163,107,positive,0,0
788,đàng_hoàng hỗn_hợp không_nhất_thiết nhạy_cảm_xài,17/06/2021,9:42,5,100230064,155,positive,0,0
3873,cổ tông_í thâm_mụn mờ,2/4/2023,9:25,5,422208242,91,positive,0,0
157,nắp xám không_sạch nắp nhạt sạch nắp hồng không_cồn nắp nhạt không_tạo bọt trượt không_mượt bù lành_tính sạch_sẽ lớp cushion sương_sương miếng không_lên mụn_ẩn công_dụng độ toàn chấm,30/01/2023,11:22,5,422211446,370,positive,0,0
2418,nhảy_cảm mừng,13/08/2021,17:20,5,343100028,60,positive,0,0
1083,kỹ bảng thành_phần không_ẻm ẻm dễ_chịu nhãn_hiệu pháp ẻm sạch oréal tốt,5/6/2022,22:38,5,422204906,229,positive,1,0
2143,dư_retinol viderm tầm tuần retinol zo_dỡ không_hợp cầu liên_hệ,15/04/2023,18:34,5,310100003,201,positive,0,1
858,hasaki tác_dụng,8/4/2024,22:06,5,214000001,52,positive,0,0
409,tốt,11/4/2023,15:37,5,100230057,17,positive,1,0
1513,ẩm mịn trắng sài hũ đêm trắng hồng chống nắng hơi tán,8/6/2023,20:18,5,422211548,100,positive,0,0
273,hợp,26/06/2021,23:08,5,422208807,19,positive,0,0
4390,toàn nhẹ_nhàng thường_ngày chống nắng dễ_chịu thích,22/10/2017,2:34,5,100750038,121,positive,1,0
1670,đặc thấm không_nhờn mụn thích,9/12/2021,11:18,5,318900019,78,positive,1,0
545,mặt_nạ tác_dụng thải độc_không_mà đắp,15/05/2021,20:22,4,365000014,83,positive,0,0
409,tốt,11/4/2023,15:37,5,200400004,17,positive,1,0
2305,tạm ổn thích evene,26/12/2016,7:44,4,100150058,29,positive,2,0
1149,không_thấy tặng,11/1/2023,15:22,5,422218631,29,positive,0,0
262,hài_lòng,15/07/2021,21:58,4,357100011,25,positive,0,0
135,phục_hồi,22/10/2024,6:08,5,422217972,33,positive,0,0
2052,đợt sài hắc khó_chịu sài bết,14/09/2022,9:58,1,422207413,79,negative,0,1
441,cửa_hàng tặng kèm tuýp rửa vàng thấm tốt hoàn_thành ổn không_bị vón bện trắng cũ thích_bản cũ nâng tông_bản không_nên dặm phấn_phủ không_nhìn mặt_mũi xám_nghét,23/10/2023,13:11,5,204900013,285,positive,4,0
1114,không_hợp hơi thấm cộng chất_mềm mịn thơm,30/10/2021,1:27,3,223600040,101,negative,1,1
2659,thích dày không_bị,30/06/2022,12:06,5,422203809,49,positive,2,0
2596,mềm,20/11/2018,19:16,5,100230069,23,positive,0,0
761,cực_hợp nhờn nổi mụn kiềm tốt,13/02/2022,17:32,5,204100003,139,positive,1,0
16,tốt tầm không_tẩy mascara_lì chống nắng mụn_xài,14/10/2023,16:54,5,205100136,115,positive,1,0
2214,đẹp hình,15/01/2021,14:47,5,206200079,19,positive,0,0
2638,giá_cả,20/11/2023,20:36,5,422203301,37,positive,0,0
2260,mịn hơi nồng,23/04/2021,2:03,5,245500001,28,positive,0,0
2372,dễ_dàng thoải_mái thư_giãn,29/04/2023,19:36,5,422205163,47,positive,1,0
409,tốt,11/4/2023,15:37,5,100230059,17,positive,1,0
246,rẻ tặng không_thấy,22/09/2021,18:30,5,422211446,70,positive,1,0
2288,đổi hồng hồng mềm_mịn,31/05/2022,14:39,5,223600017,143,positive,0,0
3007,serum mịn không_hăng nhẹ nhẹ sài không_nên bọt bọt cồn rửa rít ngược_lại rửa serum thiên_nhiên hóa cồn,20/02/2022,14:03,5,253900007,253,positive,0,1
703,dễ_dàng thoải_mái thư_giãn,28/04/2023,12:34,5,422205163,48,positive,1,0
2319,dễ_dàng thoải_mái thư_giãn,4/5/2023,17:45,5,308500009,47,positive,1,0
350,nhẹ dịu_tẩy độ_ẩm không_bị căng_rít,29/09/2019,10:10,5,205100137,186,positive,1,1
709,thích hasaki,27/04/2023,19:27,5,100230056,41,positive,1,0
189,tuýp thích ạ_chất thấm,16/11/2022,9:16,5,422203617,96,positive,1,0
1734,dễ_chịu,20/11/2023,10:08,5,422206042,23,positive,0,0
2927,mặt_nạ tiếc_chất chất_dư đắp mặt_nạ ẩm tốt mụn nội_tiết trộm_vía đắp dịu dịu,29/04/2024,23:25,5,422207148,196,positive,1,0
1478,serum sạch tốt kiềm tốt hơi khô,13/08/2021,20:06,5,204900004,49,positive,2,0
749,chuẩn_tẩy quốc_dân,21/07/2022,20:04,5,200400003,40,positive,0,0
4298,thử mặt_nạ peptide má lành_tính thuần_dịu đỏ_dưỡng không_bị nhễ_nhại,11/3/2024,21:32,5,422205635,171,positive,1,0
1157,mặt_nạ đắp ổn ôm khít không_châm,10/8/2024,21:43,5,422212871,39,positive,1,0
2460,thích mát xẹp nốt mụn sưng đêm hạn_chế tốt,10/11/2019,19:55,5,422205162,136,positive,3,0
2221,nhạy_cảm không_bị,25/07/2023,16:55,5,211300005,57,positive,1,0
581,đọc nhận_xét chê tùy hợp không_thôi trắng nhẹ sài tệp thấm hơi tiếng tệp hẳn mặc_dù thâm chỗ rỗ mụn không_bị mụn mà_còn,27/11/2023,15:44,5,253900006,334,positive,1,2
1594,pl tuýp mụn chậm thâm hầu_như không_cải_thiện,11/2/2023,18:12,4,327500002,114,positive,1,1
1665,không_quá_hắc mát má phục_hồi ổn bôi thấm áp thấm dậy rửa nhờn nhờn chứng_tỏ vẩn ổn,9/3/2022,12:23,5,318900005,248,positive,2,0
3111,sản_phẩn tốt không_mùi hương_liệu thích đặc_thẩm_thấu căng mướt,17/05/2021,20:15,5,204100013,123,positive,2,0
695,thích hasaki,29/04/2023,18:46,5,200400004,47,positive,1,0
2285,nhạy_cảm nặn mụn xịt_khoáng ổn_áp_mềm,21/07/2023,10:50,5,100150059,91,positive,1,0
684,thích hasaki,30/04/2023,18:47,5,100230057,41,positive,1,0
3876,dưỡng natrue ẩm tốt tư_vấn thử,25/01/2024,21:30,5,248700076,109,positive,1,0
4114,tế_bào chết tốt thơm,18/11/2023,17:04,5,422207812,31,positive,2,0
1176,mụn ổn không_bị mụn không_thấy nâng_tông chống nắng kém,22/08/2022,19:46,3,249500013,108,negative,2,1
1051,không_bí không_đổ dầu_dưỡng ẩm_nhẹ lớp mỏng xịn,30/04/2021,17:40,5,248700035,85,positive,1,0
2662,bịch_bịch tệ_dập không_kỹ bét tùm rụng bịch,21/05/2022,10:07,1,243300007,201,negative,0,3
3463,mẫn_cảm thử ưng_ý tặng mắt_kính,23/05/2024,13:39,5,343100024,171,positive,2,0
368,sạch sâu lớp nhẹ_nhàng không_nhờn rít,26/10/2018,19:15,5,422206648,51,positive,0,1
257,rẻ bọc,8/8/2021,20:26,5,422200306,58,positive,1,0
1188,hsd quà tặng kèm,11/6/2022,10:51,5,249500013,35,positive,0,0
4233,chất_lượng tốt mụn mụn gân uống thuốc,26/08/2023,22:34,5,345800008,142,positive,1,0
429,lảoch không_chê uoi mụn_xài không_bị bít_tắc nhờn mụn,9/8/2024,8:10,5,422216416,160,positive,1,0
286,thíc,28/05/2021,8:13,5,205100146,8,positive,0,0
1402,thơm dậy không_bị_dầu nặn mụn hơi rát,5/4/2021,20:40,4,422220469,70,positive,2,0
2349,dễ_dàng thoải_mái thư_giãn,1/5/2023,12:01,5,422205160,48,positive,1,0
1387,sài hỗn_hợp thiên_dầu không_bết_rít thấm_dưỡng ẩm tốt mềm mịn tróc mũi mùa đông hợp hơi_chát htmg đỉnh sài hủ tuýt,28/12/2021,21:08,5,422209663,240,positive,2,1
3666,trà tế_bào chết tốt không_kích_ứng hơi khô loại_bỏ mụn đen_cực tốt chê,5/9/2021,20:44,5,422206043,119,positive,2,0
1219,nổi mụn thử mềm không_bí không_lên_tông dễ_chịu văn_phòng mà_còn cổ,1/11/2020,21:03,5,249500013,271,positive,0,0
3323,thích nâng tông thấm,24/02/2022,23:46,5,223600034,51,positive,1,0
3146,tốt,8/8/2024,20:51,5,357100011,3,positive,1,0
1631,ẩm phục_hồi tốt texture đặc thấm ẩm_mịn đối_xử khô đỏ đêm dịu hẳn dậy không_đổ serum bù chất_lượng tốt ráng đeo,10/6/2023,11:30,5,422209094,309,positive,2,0
2094,đắp đọc hướng_dẫn đừng đắp,10/4/2021,23:33,5,308500037,106,positive,0,0
1824,sạch bụi mịn không_bị khô căng dầu_thừa,21/10/2024,15:54,5,204900010,77,positive,1,0
2195,tặng kèm,23/08/2022,7:32,4,249500021,32,positive,0,0
788,hasaki chê hời hsv túi_tiền rủng_rỉnh skincare siêu_dịu nhẹ lành_tính nhạy_cảm_sợ kích_ứng tập_tành skincare vô_tư hỗn_hợp nhạy_cảm độ dậy xài_không_chê lành_tính chú_trọng toàn ngdung thành hiệu_quả không_vì_thế kiên_trì hiệu_quả bình_dân không_muốn ngửi_kỹ không_nồng nhẹ nhẹ texture thề thích lỏng á_aply mát_mát thoáng nhận_xét tóm_lại á_lười chụp hình,26/06/2021,20:21,5,211300002,968,positive,3,0
316,bàn_cãi rẻ,3/11/2020,10:53,5,205100137,88,positive,1,0
3324,nâng hù_hợp,23/02/2022,13:33,5,223600010,64,positive,0,0
799,thích dịu nhẹ mụn hasaki,19/12/2020,21:32,5,100230064,97,positive,1,0
4154,tạm hài_lòng,12/1/2023,14:32,2,422205162,43,negative,0,0
2795,mặt_nạ rẻ đẹp bền_dịch ẩm_mịn căng,28/12/2020,17:50,5,365000020,65,positive,1,0
2377,dễ_dàng thoải_mái thư_giãn,29/04/2023,16:14,5,422205162,47,positive,1,0
2514,khô_xài cực_kì thích nắng lớp làn giải_cứu thích_hợp,1/3/2023,2:10,5,248700062,123,positive,2,0
1633,chết tạm ổn gét_rửa trông căng,10/12/2021,23:47,5,245500002,118,positive,1,0
396,ưng mặt_nạ,15/04/2024,21:53,5,422218099,82,positive,1,0
1296,ẩm mờ thâm_hơi lành_tính không_châm_chích bôi vết mụn hơi rát vết_thương,13/07/2023,13:02,5,422211878,138,positive,0,0
2397,dễ_dàng thoải_mái thư_giãn,27/04/2023,16:32,5,308500009,48,positive,1,0
809,không_gây kích_ứng,11/8/2020,16:41,5,200400004,22,positive,0,0
333,tầm hồng ẩm_dù khô mụn hồng mịn hẳn sạch trị mụn hiệu_quả mụn lặn sạch thông_thoáng thấm đậm hồng,26/06/2020,19:36,5,422211447,406,positive,1,0
1474,dịu nhẹ tốt,28/10/2021,13:41,5,204900056,27,positive,1,0
3218,thử không_hợp ạ_hợp dùm,16/03/2023,13:31,5,223600034,72,positive,0,1
229,nổi bọt_hơi,21/01/2022,23:48,4,205100146,37,positive,0,0
847,sài mắc,15/01/2023,7:47,5,249500007,53,positive,0,0
2410,có_lẽ mặt_nạ siêu_đình chê,16/11/2022,13:52,5,422205163,96,positive,0,0
220,mỏng rách_điểm dày chắc_chùi bịch sạch,9/3/2022,0:31,3,217300001,68,negative,0,0
2610,tác_dụng tầm tuần không_kích_ứng mừng hơi rít nhẹ,4/8/2022,12:42,5,371600006,119,positive,0,1
745,ứng_dụng tặng bông_tẩy không_thấy tặng,29/08/2022,8:59,5,422216594,60,positive,0,0
